Date,order id,Product ,Qty,Unit Price (NGN),Total,Vendor,channel,Payment Method,Delivery Fee
27/07/2026,BD91971,Meat Pie,2,800,1600,Amala Pavilion,app,Transfer,500
18/05/2026,BD64325,  SOFT DRINK  ,2,400,800,Butter N Crumbs,App,pos,300
13/05/2026,BD15453,Pounded Yam & Egusi,2,2500,10000,Amala Pavilion,walk-in,Cash,0
24/07/2026,BD42638,Soft Drink,2,400,800,Amala Pavilion,walk-in,card,0
19-Jul-2026,BD20239,Puff Puff (6pcs),3,500,1500,Jummie Kitchen,Phone,transfer,300
11/07/2026,BD85377,Fried Rice,2,1800,3600,Butter N Crumbs,phone,pos,500
02/05/2026,BD44600,Chicken (piece),1,1500,1500,Jummie Kitchen,app,transfer,300
23/05/2026,BD55039,Chicken (piece),1,1500,1500,Jummie Kitchen,Walk In,POS,200
29/05/2026,BD71000,Fried Rice,1,1800,1800,Alaga Spot,APP,pos,500
24/06/2026,BD16536,Meat Pie,2,800,1600,Munchies,walk-in,transfer,0
07/05/2026,BD68222,Jollof Rice,1,1800,1800,Amala Pavilion,walk-in,card,0
09/07/2026,BD54217,Fried Rice,2,"NGN1,800",3600,Alaga Spot,Walk In,cash,300
21/05/2026,BD30625,Fried Rice,1,1800,1800,Munchies,walk-in,Cash,200
02/06/2026,BD68303,Puff Puff (6pcs),1,500,500,Jummie Kitchen,phone,Transfer,200
15/05/2026,BD53456,Zobo,2,500,1000,Amala Pavilion,app,Transfer,500
10/05/2026,BD40437,Beef (piece),1,800,800,Munchies,APP,Cash,0
2026-05-19,BD99573,Amala & Ewedu,1,2000,2000,Munchies,Walk In,Transfer,500
17/05/2026,BD39939,White Rice & Stew,3,1500,4500,Alaga Spot,walk-in,POS,0
23/05/2026,BD24801,Amala & Ewedu,1,2000,2000,Amala Pavilion,walkin,transfer,0
06/05/2026,BD82641,Amala & Ewedu,4,2000,8000,Alaga Spot,walk-in,cash,0
05/07/2026,BD34341,Amala & Ewedu,2,2000,4000,Munchies,phone,Transfer,200
17/05/2026,BD53426,Amala & Ewedu,1,2000,2000,Butter N Crumbs,Walk In,Cash,0
18/07/2026,BD70625,Pounded Yam & Egusi,2,2500,5000,Jummie Kitchen,APP,Transfer,500
07/05/2026,BD47947,Chicken (piece),1,1500,1500,Munchies,walkin,Transfer,500
2026-06-20,BD15244,Eba & Okra,1,1500,1500,Amala Pavilion,walk-in,Transfer,500
04/07/2026,BD52875,Moi Moi,1,700,700,Amala Pavilion,,,0
17/06/2026,BD70003,Fish (piece),2,1200,2400,Jummie Kitchen,Phone,card,200
07/05/2026,BD32037,  MOI MOI  ,3,700,2100,Munchies,walk-in,pos,200
28/05/2026,BD84569,Meat Pie,1,857,857,Munchies,APP,Transfer,200
14/06/2026,BD64767,Soft Drink,1,400,400,Jummie Kitchen,phone,Transfer,0
04/05/2026,BD63523,Beef (piece),2,800,1600,Munchies,APP,cash,300
01-May-2026,BD50306,Puff Puff (6pcs),1,500,500,Alaga Spot,App,transfer,300
11-May-2026,BD19742,Beef (piece),4,800,3200,Munchies,app,Cash,0
17/06/2026,BD22984,Fish (piece),1,1200,1200,Alaga Spot,walkin,pos,300
05/05/2026,BD57823,Zobo,2,548,1096,Munchies,Walk In,cash,300
04/06/2026,BD70570,Moi Moi,2,700,1400,Alaga Spot,walk-in,Transfer,300
07/06/2026,BD45300,Soft Drink,2,400,800,Munchies,walkin,transfer,500
05-Jul-2026,BD23254,White Rice & Stew,2,1500,3000,Munchies,walkin,POS,200
20/06/2026,BD41395,Fried Rice,1,1800,1800,Butter N Crumbs,App,transfer,0
08/07/2026,BD40062,Soft Drink,1,400,400,Munchies,phone,Cash,0
25/06/2026,BD58147,Pounded Yam & Egusi,1,2500,2500,Amala Pavilion,phone,POS,0
08/05/2026,BD76496,Meat Pie,4,800,3200,Butter N Crumbs,app,Cash,300
2026-06-16,BD89452,Fish (piece),1,1200,1200,Alaga Spot,App,POS,0
14/07/2026,BD60536,Puff Puff (6pcs),3,500,1500,Munchies,APP,pos,200
2026-05-13,BD28569,Zobo,4,500,2000,Jummie Kitchen,Phone,pos,0
2026-06-30,BD49334,Beef (piece),1,800,800,Jummie Kitchen,Phone,Cash,300
25/06/2026,BD90315,White Rice & Stew,2,1500,3000,Butter N Crumbs,App,Cash,0
28/06/2026,BD91465,Bottled Water,1,200,200,Amala Pavilion,app,pos,0
14/07/2026,BD54212,Amala & Ewedu,1,2000,2000,Amala Pavilion,phone,Transfer,200
24/05/2026,BD85527,Fish (piece),1,1200,1200,Munchies,Walk In,transfer,500
08/07/2026,BD44757,Jollof Rice,1,1800,1800,Munchies,app,cash,0
21/06/2026,BD23606,  ZOBO  ,3,500,1500,Munchies,phone,transfer,300
08-Jun-2026,BD75991,  EBA & OKRA  ,2,1500,3000,Munchies,walkin,Cash,0
11/06/2026,BD54909,Meat Pie,4,800,3200,Amala Pavilion,Walk In,Transfer,200
07/07/2026,BD38155,Soft Drink,1,400,400,Amala Pavilion,walk-in,Cash,200
10/06/2026,BD49967,Chicken (piece),1,"NGN1,500",1500,Jummie Kitchen,Walk In,Cash,0
12/07/2026,BD37581,Beef (piece),3,800,2400,Munchies,app,Transfer,200
21/07/2026,BD49298,Fried Rice,4,1800,7200,Munchies,Walk In,cash,0
18-Jul-2026,BD22108,Jollof Rice,2,"NGN1,800",3600,Butter N Crumbs,app,cash,0
07/07/2026,BD71845,Pounded Yam & Egusi,1,2500,2500,Munchies,walkin,pos,300
03/05/2026,BD74332,Puff Puff (6pcs),1,500,500,Munchies,App,cash,0
18/06/2026,BD97337,Bottled Water,1,200,200,Alaga Spot,Phone,POS,0
28/05/2026,BD10861,Puff Puff (6pcs),1,500,500,Butter N Crumbs,Walk In,card,500
02/05/2026,BD86019,Soft Drink,1,400,400,Jummie Kitchen,Phone,Cash,300
06/07/2026,BD44082,Puff Puff (6pcs),3,500,1500,Butter N Crumbs,App,POS,500
2026-07-24,BD78920,Bottled Water,2,200,400,Munchies,app,cash,0
2026-05-25,BD83490,Meat Pie,1,800,800,Munchies,app,Transfer,500
25/06/2026,BD56865,Puff Puff (6pcs),2,NGN500,1000,Amala Pavilion,,,300
17/06/2026,BD39984,Pounded Yam & Egusi,4,2500,10000,Munchies,Walk In,Cash,200
12-May-2026,BD84289,Zobo,1,500,500,Munchies,App,POS,200
06/05/2026,BD52437,  WHITE RICE & STEW  ,1,1500,1500,Jummie Kitchen,,,300
26/06/2026,BD59063,Chicken (piece),1,1631,1631,Munchies,APP,cash,0
14/05/2026,BD52217,Beef (piece),1,800,800,Amala Pavilion,Phone,Transfer,500
08/05/2026,BD14561,Jollof Rice,1,1800,1800,Alaga Spot,walkin,cash,300
06/05/2026,BD64524,Zobo,1,NGN500,500,Jummie Kitchen,phone,cash,200
11/07/2026,BD56106,Fish (piece),1,"NGN1,370",1370,Munchies,phone,POS,500
14/06/2026,BD80278,Bottled Water,1,200,200,Butter N Crumbs,APP,cash,0
07/05/2026,BD47079,Puff Puff (6pcs),1,500,500,Jummie Kitchen,app,pos,200
25/06/2026,BD36149,Beef (piece),3,800,2400,Amala Pavilion,,,200
20/05/2026,BD67367,Bottled Water,2,200,400,Munchies,Phone,Transfer,500
07/07/2026,BD50372,Eba & Okra,2,1500,3000,Amala Pavilion,phone,transfer,300
11/07/2026,BD15861,Meat Pie,2,800,1600,Munchies,,,0
2026-06-07,BD42264,Meat Pie,2,800,1600,Munchies,walkin,transfer,200
01-Jul-2026,BD52431,Bottled Water,1,200,200,Munchies,Walk In,cash,300
16-Jun-2026,BD38208,Amala & Ewedu,1,2000,2000,Butter N Crumbs,walk-in,card,200
03/06/2026,BD77050,Meat Pie,1,800,800,Jummie Kitchen,phone,Transfer,300
10/07/2026,BD48523,Meat Pie,1,NGN800,800,Munchies,walkin,Transfer,300
2026-06-15,BD21722,Amala & Ewedu,1,2000,2000,Munchies,APP,cash,300
07/06/2026,BD99779,Bottled Water,1,200,200,Jummie Kitchen,App,pos,200
11/07/2026,BD84459,Meat Pie,1,800,800,Munchies,APP,Transfer,500
18-May-2026,BD85832,Puff Puff (6pcs),3,500,1500,Alaga Spot,App,Cash,500
06-Jul-2026,BD73254,Eba & Okra,1,1500,1500,Munchies,walkin,POS,0
18/06/2026,BD24046,  PUFF PUFF (6PCS)  ,1,507,507,Alaga Spot,,,0
07/05/2026,BD88554,  PUFF PUFF (6PCS)  ,1,500,500,Alaga Spot,Walk In,Transfer,0
2026-05-02,BD77889,Bottled Water,1,200,200,Butter N Crumbs,walk-in,pos,0
06/07/2026,BD80594,Fried Rice,3,1800,5400,Alaga Spot,App,pos,0
27/05/2026,BD67613,Meat Pie,2,800,1600,Jummie Kitchen,Walk In,Cash,0
09/07/2026,BD54875,Bottled Water,1,NGN200,200,Jummie Kitchen,App,pos,200
09/07/2026,BD82844,White Rice & Stew,2,1500,3000,Alaga Spot,App,transfer,300
29/05/2026,BD73225,Moi Moi,1,700,700,Jummie Kitchen,walk-in,pos,500
09/05/2026,BD20336,Eba & Okra,3,1500,4500,Butter N Crumbs,,,200
16-May-2026,BD13697,Eba & Okra,2,1500,3000,Jummie Kitchen,APP,card,0
07/06/2026,BD56439,Jollof Rice,1,1800,1800,Butter N Crumbs,app,transfer,200
17/05/2026,BD83273,White Rice & Stew,1,1500,1500,Alaga Spot,walkin,POS,0
21/05/2026,BD83872,Zobo,1,500,500,Jummie Kitchen,App,Transfer,300
02/05/2026,BD83259,Puff Puff (6pcs),1,500,500,Amala Pavilion,phone,pos,500
06/05/2026,BD65028,Fish (piece),2,1303,2606,Alaga Spot,walkin,cash,200
24-Jul-2026,BD13049,Beef (piece),1,800,800,Amala Pavilion,phone,cash,300
01-Jun-2026,BD65864,Chicken (piece),2,1500,3000,Amala Pavilion,walkin,transfer,500
17/06/2026,BD65572,Meat Pie,3,800,2400,Alaga Spot,Phone,Cash,500
20-May-2026,BD27603,Fish (piece),2,1200,2400,Jummie Kitchen,Phone,Cash,300
2026-05-10,BD72580,Fried Rice,1,1800,1800,Alaga Spot,app,cash,300
23/07/2026,BD74166,Meat Pie,1,800,800,Alaga Spot,phone,cash,0
23/07/2026,BD68859,Soft Drink,4,400,1600,Butter N Crumbs,Phone,cash,200
05/06/2026,BD96317,Beef (piece),1,800,800,Munchies,APP,Cash,300
21/07/2026,BD45396,Soft Drink,3,400,1200,Munchies,Phone,cash,0
23/05/2026,BD28985,Zobo,1,500,500,Jummie Kitchen,phone,POS,500
19/07/2026,BD58662,  POUNDED YAM & EGUSI  ,1,2500,2500,Amala Pavilion,walkin,pos,500
21/07/2026,BD88583,Fish (piece),1,1200,1200,Jummie Kitchen,App,transfer,200
22-Jun-2026,BD24540,Beef (piece),1,800,800,Butter N Crumbs,App,transfer,0
01/06/2026,BD91051,  FISH (PIECE)  ,1,1200,1200,Alaga Spot,app,Transfer,0
17/05/2026,BD90962,Fish (piece),1,1200,1200,Munchies,App,Cash,0
13/06/2026,BD75213,Eba & Okra,1,1500,1500,Amala Pavilion,app,Transfer,300
04/07/2026,BD54231,Jollof Rice,3,1800,5400,Munchies,Walk In,Transfer,200
18/07/2026,BD44825,  CHICKEN (PIECE)  ,2,1500,3000,Amala Pavilion,Phone,card,0
15/07/2026,BD44123,Bottled Water,2,200,400,Jummie Kitchen,Phone,transfer,300
24/07/2026,BD30787,  BEEF (PIECE)  ,2,800,1600,Amala Pavilion,APP,cash,500
02/07/2026,BD94519,Pounded Yam & Egusi,1,2500,2500,Jummie Kitchen,Walk In,pos,500
09/06/2026,BD93422,Meat Pie,2,800,1600,Amala Pavilion,Phone,POS,300
04-Jul-2026,BD78623,Fish (piece),2,1200,2400,Munchies,App,cash,200
20/07/2026,BD71952,Amala & Ewedu,2,2226,4452,Jummie Kitchen,Walk In,cash,300
17/07/2026,BD93020,Puff Puff (6pcs),1,500,500,Munchies,APP,POS,0
04/06/2026,BD24459,Moi Moi,1,700,700,Amala Pavilion,walkin,POS,200
2026-05-22,BD43779,Pounded Yam & Egusi,1,2500,2500,Amala Pavilion,App,cash,500
16/06/2026,BD48905,Jollof Rice,1,1800,1800,Amala Pavilion,Phone,Transfer,500
16/07/2026,BD91295,Bottled Water,1,200,200,Amala Pavilion,app,Cash,0
25/07/2026,BD60631,Zobo,2,500,1000,Amala Pavilion,App,cash,0
02/07/2026,BD87916,Meat Pie,1,800,800,Jummie Kitchen,walk-in,cash,0
13-Jun-2026,BD31150,Fish (piece),4,1200,4800,Munchies,App,Transfer,200
16/05/2026,BD96787,Soft Drink,1,400,400,Munchies,walkin,cash,200
02/06/2026,BD89879,Chicken (piece),1,1500,1500,Amala Pavilion,walkin,Transfer,300
19/05/2026,BD83699,Fish (piece),2,1200,2400,Butter N Crumbs,phone,POS,500
23/07/2026,BD82597,Meat Pie,1,800,800,Jummie Kitchen,app,Cash,0
19/07/2026,BD71125,Zobo,1,500,500,Jummie Kitchen,walk-in,Cash,0
14/06/2026,BD37462,Bottled Water,2,200,400,Amala Pavilion,Walk In,transfer,0
22/07/2026,BD85578,Moi Moi,1,700,700,Butter N Crumbs,App,POS,0
09/06/2026,BD20233,Jollof Rice,1,1800,1800,Butter N Crumbs,phone,card,500
21/05/2026,BD87436,Fish (piece),1,1200,1200,Amala Pavilion,,,0
23/07/2026,BD96283,Eba & Okra,1,1500,1500,Jummie Kitchen,phone,transfer,0
04/05/2026,BD82102,  FISH (PIECE)  ,1,"NGN1,200",1200,Munchies,walkin,cash,200
22/05/2026,BD33957,Puff Puff (6pcs),1,500,500,Alaga Spot,Phone,POS,0
2026-05-28,BD56380,Soft Drink,1,400,400,Butter N Crumbs,Phone,card,300
05/06/2026,BD98668,Moi Moi,1,700,700,Jummie Kitchen,walkin,transfer,0
25-Jun-2026,BD68171,Amala & Ewedu,1,2000,2000,Munchies,Walk In,Cash,300
2026-05-09,BD45601,Amala & Ewedu,1,2000,2000,Butter N Crumbs,walk-in,Transfer,0
04/06/2026,BD38981,Zobo,3,500,1500,Butter N Crumbs,App,Cash,300
04/07/2026,BD20127,Eba & Okra,1,1574,1574,Alaga Spot,Phone,Transfer,0
19/05/2026,BD77746,Moi Moi,1,700,700,Jummie Kitchen,Phone,Cash,0
14/06/2026,BD91777,Puff Puff (6pcs),1,500,500,Munchies,walk-in,Cash,200
10/05/2026,BD57419,  SOFT DRINK  ,2,400,800,Butter N Crumbs,App,transfer,500
06/07/2026,BD26260,Fish (piece),3,1200,3600,Jummie Kitchen,App,POS,0
19/07/2026,BD45695,Amala & Ewedu,2,2000,4000,Munchies,app,Cash,0
20/07/2026,BD41881,Chicken (piece),1,1500,1500,Alaga Spot,walkin,Transfer,500
08/06/2026,BD68361,Moi Moi,1,700,700,Amala Pavilion,app,pos,300
06/07/2026,BD72558,Jollof Rice,1,1800,1800,Butter N Crumbs,app,cash,0
02/05/2026,BD51104,  AMALA & EWEDU  ,4,2000,8000,Butter N Crumbs,Phone,card,500
05/07/2026,BD91902,Bottled Water,1,200,200,Butter N Crumbs,walkin,card,300
2026-06-02,BD72182,Fried Rice,2,1800,3600,Alaga Spot,app,transfer,200
25/07/2026,BD76176,Fish (piece),1,1200,1200,Jummie Kitchen,phone,transfer,300
27/06/2026,BD12371,Meat Pie,2,800,1600,Munchies,phone,pos,300
08/07/2026,BD63432,  ZOBO  ,1,500,500,Amala Pavilion,APP,Transfer,0
18/06/2026,BD40333,Moi Moi,1,700,700,Amala Pavilion,Phone,transfer,500
27/07/2026,BD87200,Soft Drink,1,400,400,Alaga Spot,App,POS,0
30/06/2026,BD24728,Chicken (piece),1,1500,1500,Jummie Kitchen,phone,Cash,200
07/07/2026,BD59166,  JOLLOF RICE  ,1,1800,1800,Alaga Spot,phone,transfer,300
29-Jul-2026,BD76123,Bottled Water,2,200,400,Amala Pavilion,walkin,cash,0
15/06/2026,BD63581,Fish (piece),1,1200,1200,Butter N Crumbs,App,pos,0
30-May-2026,BD30220,Meat Pie,1,800,800,Alaga Spot,APP,transfer,0
12/05/2026,BD67469,Jollof Rice,4,1800,7200,Munchies,phone,POS,300
11/06/2026,BD26361,  CHICKEN (PIECE)  ,1,1500,1500,Munchies,app,Cash,200
12/07/2026,BD42244,Eba & Okra,2,1500,3000,Alaga Spot,walk-in,pos,500
13/05/2026,BD60916,Pounded Yam & Egusi,1,2500,2500,Alaga Spot,phone,Cash,0
11/07/2026,BD21679,  JOLLOF RICE  ,2,1800,3600,Amala Pavilion,phone,pos,300
07/06/2026,BD84600,Puff Puff (6pcs),1,500,500,Munchies,Walk In,cash,0
02-May-2026,BD32241,Beef (piece),1,800,800,Jummie Kitchen,,,0
31/05/2026,BD47593,Beef (piece),4,800,3200,Alaga Spot,App,pos,200
01/06/2026,BD32878,Beef (piece),1,800,800,Munchies,APP,POS,300
22-May-2026,BD82036,Chicken (piece),1,1613,1613,Butter N Crumbs,walkin,cash,200
27-May-2026,BD69596,  WHITE RICE & STEW  ,1,1500,1500,Jummie Kitchen,APP,POS,0
19/05/2026,BD19600,  FISH (PIECE)  ,2,1295,2590,Jummie Kitchen,App,card,0
05/07/2026,BD24500,Soft Drink,1,400,400,Alaga Spot,APP,pos,300
03/07/2026,BD84542,Jollof Rice,3,1800,5400,Amala Pavilion,walkin,POS,200
24/07/2026,BD51171,Soft Drink,2,400,800,Munchies,phone,Cash,0
23/07/2026,BD37403,Amala & Ewedu,2,2000,4000,Jummie Kitchen,Phone,transfer,300
11/06/2026,BD67923,  ZOBO  ,2,500,1000,Butter N Crumbs,phone,transfer,0
13/05/2026,BD99037,Pounded Yam & Egusi,1,2500,2500,Alaga Spot,phone,transfer,200
06-May-2026,BD19632,Moi Moi,2,700,1400,Jummie Kitchen,APP,transfer,0
11/06/2026,BD54669,Soft Drink,1,400,400,Jummie Kitchen,walk-in,transfer,500
19/05/2026,BD23955,  POUNDED YAM & EGUSI  ,3,2500,7500,Alaga Spot,app,POS,0
23-Jun-2026,BD64405,Jollof Rice,1,1831,1831,Jummie Kitchen,walkin,pos,200
28/06/2026,BD80092,Meat Pie,1,800,800,Butter N Crumbs,Walk In,Transfer,300
26-Jul-2026,BD84221,Zobo,2,500,1000,Jummie Kitchen,,,0
27/05/2026,BD59856,Zobo,1,500,500,Amala Pavilion,app,card,0
2026-07-12,BD93453,Beef (piece),1,800,800,Alaga Spot,Phone,card,200
24/07/2026,BD62439,Moi Moi,1,700,700,Jummie Kitchen,APP,card,500
30/06/2026,BD51799,Amala & Ewedu,2,2000,4000,Jummie Kitchen,phone,POS,0
28-Jun-2026,BD59114,Bottled Water,1,200,200,Jummie Kitchen,app,Transfer,200
13/07/2026,BD15302,Fish (piece),1,1200,1200,Amala Pavilion,App,cash,500
18/06/2026,BD33878,Amala & Ewedu,1,2000,2000,Jummie Kitchen,App,Cash,300
24/06/2026,BD83156,Puff Puff (6pcs),2,500,1000,Jummie Kitchen,Phone,cash,0
11/07/2026,BD35957,Beef (piece),1,800,800,Amala Pavilion,phone,Cash,300
2026-06-08,BD67386,Chicken (piece),2,1500,3000,Munchies,,,500
20/05/2026,BD70909,Zobo,2,500,1000,Munchies,phone,cash,500
26/07/2026,BD83913,Pounded Yam & Egusi,2,2500,5000,Munchies,phone,card,0
18/05/2026,BD16014,  MOI MOI  ,2,700,1400,Alaga Spot,APP,cash,200
23/06/2026,BD83525,Moi Moi,1,700,700,Butter N Crumbs,App,card,300
11/07/2026,BD94833,Fried Rice,1,1800,1800,Jummie Kitchen,Phone,pos,0
19/05/2026,BD83575,Amala & Ewedu,4,2000,8000,Munchies,App,POS,200
03/07/2026,BD10735,Zobo,2,505,1010,Jummie Kitchen,App,cash,200
11/07/2026,BD89102,Chicken (piece),1,1500,1500,Butter N Crumbs,walkin,Cash,500
25/07/2026,BD98592,Soft Drink,1,400,400,Amala Pavilion,App,card,200
09/05/2026,BD49596,Puff Puff (6pcs),3,500,1500,Amala Pavilion,Walk In,Cash,0
03/06/2026,BD54930,Soft Drink,3,400,1200,Jummie Kitchen,Phone,card,500
09/07/2026,BD69258,Amala & Ewedu,2,2000,4000,Amala Pavilion,Walk In,card,300
09/06/2026,BD86230,Fish (piece),1,1200,1200,Butter N Crumbs,walk-in,cash,200
06/05/2026,BD59925,Pounded Yam & Egusi,2,2500,5000,Butter N Crumbs,Walk In,Cash,500
06/07/2026,BD25675,Amala & Ewedu,1,2000,2000,Jummie Kitchen,Phone,Cash,500
2026-06-25,BD65170,  PUFF PUFF (6PCS)  ,1,500,500,Alaga Spot,Walk In,pos,0
06/07/2026,BD83566,Pounded Yam & Egusi,3,"NGN2,500",7500,Amala Pavilion,App,pos,0
03/05/2026,BD40217,Eba & Okra,1,1500,1500,Alaga Spot,walkin,transfer,500
21/06/2026,BD93744,Puff Puff (6pcs),3,500,1500,Munchies,app,Transfer,0
19/06/2026,BD39401,  FRIED RICE  ,1,1800,1800,Amala Pavilion,phone,Transfer,200
08/05/2026,BD26821,Beef (piece),1,800,800,Butter N Crumbs,APP,pos,0
21/07/2026,BD40780,Amala & Ewedu,1,2000,2000,Amala Pavilion,walkin,Transfer,500
02-May-2026,BD81511,  FRIED RICE  ,1,1800,1800,Jummie Kitchen,APP,Cash,0
20/07/2026,BD99871,Jollof Rice,1,1800,1800,Jummie Kitchen,App,transfer,0
19/05/2026,BD99995,Beef (piece),1,800,800,Alaga Spot,APP,card,500
23/06/2026,BD72421,Amala & Ewedu,1,2000,2000,Amala Pavilion,walkin,cash,0
2026-05-05,BD49210,White Rice & Stew,1,1500,1500,Amala Pavilion,Walk In,Cash,200
27-May-2026,BD81618,Fried Rice,1,1800,1800,Amala Pavilion,walkin,Cash,0
23/07/2026,BD42921,White Rice & Stew,1,1500,1500,Jummie Kitchen,walk-in,POS,300
26/05/2026,BD83051,Beef (piece),3,800,2400,Munchies,APP,cash,0
05/07/2026,BD70820,Moi Moi,1,700,700,Munchies,,,300
2026-06-06,BD84762,Eba & Okra,1,1500,1500,Munchies,walk-in,transfer,300
24/05/2026,BD62047,  ZOBO  ,2,500,1000,Munchies,Walk In,card,0
21/07/2026,BD34811,Eba & Okra,2,1500,3000,Jummie Kitchen,app,card,0
30/05/2026,BD93058,Beef (piece),2,800,1600,Butter N Crumbs,Walk In,card,0
12/05/2026,BD56388,Meat Pie,1,NGN800,800,Butter N Crumbs,walkin,pos,300
09/07/2026,BD36041,Amala & Ewedu,1,2000,2000,Jummie Kitchen,APP,card,500
25/05/2026,BD49953,Amala & Ewedu,1,2000,2000,Jummie Kitchen,Phone,card,0
26/07/2026,BD35487,Bottled Water,1,200,200,Alaga Spot,App,Transfer,0
08/05/2026,BD75211,Zobo,4,500,2000,Butter N Crumbs,Walk In,pos,0
18/06/2026,BD62412,Meat Pie,1,800,800,Amala Pavilion,APP,transfer,0
11/05/2026,BD78742,Jollof Rice,4,1800,7200,Amala Pavilion,phone,Transfer,200
2026-05-23,BD72530,Meat Pie,1,800,800,Amala Pavilion,Walk In,card,0
14/06/2026,BD74415,Jollof Rice,1,1800,1800,Amala Pavilion,phone,POS,200
13-May-2026,BD90541,Chicken (piece),1,1500,1500,Alaga Spot,walkin,transfer,0
06/06/2026,BD88852,Bottled Water,1,200,200,Munchies,phone,cash,0
23/05/2026,BD78306,Amala & Ewedu,2,2030,4060,Alaga Spot,Phone,Cash,200
16/06/2026,BD94408,Amala & Ewedu,3,2000,6000,Amala Pavilion,phone,pos,0
14/05/2026,BD50043,Beef (piece),3,800,2400,Alaga Spot,phone,POS,0
14/05/2026,BD25473,White Rice & Stew,2,"NGN1,500",3000,Munchies,walkin,pos,300
07/06/2026,BD94834,Chicken (piece),1,1500,1500,Munchies,Phone,Transfer,200
30/05/2026,BD26718,Fried Rice,1,1800,1800,Munchies,walkin,card,0
03/06/2026,BD31805,Pounded Yam & Egusi,2,2470,4940,Alaga Spot,Walk In,Transfer,0
